School,Civics,History,Geography,Elimu ya Dini ya Kiislamu,Bible Knowledge,Kiswahili,English Language,French Language,Literature in English,Arabic Language,Chinese Language,Physics,Chemistry,Biology,Physical Education,Basic Mathematics,Additional Mathematics,Food & Nutrition,Textile & Dressmaking,Commerce,Book-keeping,Fine Art,Information & Computer Studies,Agriculture,Year
Agakhan Mzizima Secondary School,3.1818,3.4848,3.4242,-,-,3.3333,2.8485,,,,,3.5833,2.4167,3.1515,,4,-,,,3.3846,3.6154,,2.8333,,2022
Al-Amin islamic secondary school,3.25,4,3.375,4.25,,2.875,3.125,,4.3333,,,4,3.6,3.625,,4.375,,,,,,,,,2022
Al-Farouq Islamic Seminary,3.4,3.2857,3.4571,3.6,,3.2857,3.1143,,,,,3.75,3.4,3.4,,4.6571,,,,3,3.3333,,,,2022
Al-Furqaan Secondary School,3.3846,2.7308,3.1538,3.3462,,2.4615,2.4615,,,,,3.8125,2.375,2.8077,,3.0385,,,,3.75,3,,,,2022
Al-Haramain Secondary School,4,4.0577,4,4.0192,,3.3462,4.0962,,,,,4.5385,3.3846,3.6923,,4.7308,,,,5,5,,,,2022
Alpha High School Girls Dormitory,,,,,,,,,,,,,,,,,,,,,,,,,2022
Alpha Secondary School,2.51,2.03,2.53,-,-,2.22,2.29,,2.6897,,,3.3056,1.9429,2.42,,3.06,-,,,2.9063,2.75,,2.2381,,2022
"Assurance secondary school, Msongola",2.4667,3,2.5333,,,2.1333,2.3333,,,,,3.2143,1.7857,1.8667,,3.0667,,,,,,,,,2022
B.W.Mkapa Mrerani Secondary School,4.2955,4.3299,4.2921,4.2093,-,3.2474,3.6151,,,,,4.5155,4.7526,3.7732,,4.7045,-,,,-,-,,-,,2022
Barbro Johansson Model Girls Secondary School,2.878,2.8537,2.9146,,2.6667,2.1585,1.8049,3.2857,2.7222,,,3.8148,1.963,1.9268,,3.8537,,,,2.7,2.6,,1.6,,2022
Benjamin William Mkapa High School,3.2103,2.6996,2.9614,3.1026,,2.5322,2.7296,3,2.9412,,2.6154,3.4545,2.3681,2.2918,,3.3219,,2.375,,3.2353,3.1875,,,,2022
Bintimusa Secondary School,4.4031,4.2602,4.2959,4.3371,,2.8929,4.2704,,,,,4.2667,3.339,3.9592,,4.6837,,,,,,,,,2022
Canossa Secondary School,1.0102,1.0612,1.4286,-,1.0794,1.2755,1.1531,,,,,2.1711,1,1.0306,,1.1224,1.2273,,,1.2143,1.9286,,1.3846,,2022
Chang'ombe Secondary School,3.0096,2.4519,2.5962,3.2,,2.2212,2.5,1.9259,2.3824,,,3.3333,2.1447,1.8654,,2.5,,,,3.1765,2.8235,,,,2022
Christ the King Secondary School,3.0645,2.3871,3.0645,-,1.8214,2.8065,3.0968,,,,,3.5,1.8333,2.7097,,3.7742,-,,,3.125,3,,-,,2022
Crown Secondary School,2.9063,2.6667,3.2292,,,2.4583,2.0833,,3.0789,,,3.6154,2.8205,2.6354,,3.5938,,,,2.7083,2.9167,,,,2022
Dar Es Salaam Islamic Seminari (Girls) Secondary School,2.3864,3.0227,3.0227,2.9318,,1.5227,2.7955,,,,,4,2.5122,2.1136,,3.4091,,,,3,3,,,,2022
Dar Es Salaam Secondary School,3.2378,2.7317,2.6646,2.75,,2.3293,2.4512,2.9,,,,3.4945,2.1742,2.3171,,2.8902,,2.7308,,,1.9048,,,,2022
Diplomasia Secondary School,4.8161,4.7953,4.7023,3.5268,,3.5965,4.8017,,,,,4.4688,3.3429,4.7289,,4.8386,,,,,,,,,2022
