School,Latitude,Longitude,performance,stars,religion,gender,boarding/day,performance_2023,performance_2022,performance_2021
Agakhan Mzizima Secondary School,-6.8127949,39.2781093,3.9881,4,Islam,Both,Boarding,3.9881,3.0178,3.31
Al-Amin islamic secondary school,-6.8561534,39.2713688,3.0563,4,Islam,Both,Boarding,3.0563,3.3937,3.6695
Al-Farouq Islamic Seminary,-6.829323,39.2233925,3.0926,5,Islam,Boys,Both,3.0926,3.245,3.1674
Al-Furqaan Secondary School,-6.851507,39.2793721,2.8977,5,Islam,Both,Boarding,2.8977,2.4606,3.1555
Al-Haramain Secondary School,-6.8267773,39.2703421,2.8535,3.9,Islam,Both,Boarding,2.8535,3.7703,2.7371
Alpha High School Girls Dormitory,-6.7602926,39.2480647,1.991,5,Both,Girls,Both,1.991,2.0987,2.1617
Alpha Secondary School,-6.759222,39.237618,2.0224,4.3,Both,Both,Both,2.0224,2.2495,2.2312
"Assurance secondary school, Msongola",-7.0291434,39.123654,1.4568,5,Both,Both,Boarding,1.4568,2.0444,2.0444
B.W.Mkapa Mrerani Secondary School,-6.8165667,39.266667,3.2416,4,Both,Both,Day,3.2416,3.1777,3.5411
Barbro Johansson Model Girls Secondary School,-6.8047608,39.0842567,2.6667,4.3,Both,Girls,Boarding,2.6667,2.8667,2.2901
Benjamin William Mkapa High School,-6.8253187,39.2711654,2.4104,4,Both,Both,Day,2.4104,2.4071,3.1045
Bintimusa Secondary School,-6.8592269,39.2415261,4.1642,3,Both,Girls,Day,4.1642,3.8856,4.3612
Canossa Secondary School,-6.655159495,39.184338,1.1172,4.3,Christianity,Girls,Boarding,1.1172,1.2028,1.3417
Chang'ombe Secondary School,-6.8481711,39.271882,1.859,4.7,Both,Both,Boarding,1.859,2.0662,2.0435
Christ the King Secondary School,-6.8359909,39.2114105,2.4084,4.1,Christianity,Both,Boarding,2.4084,2.3722,2.1508
Crown Secondary School,-6.7123928,39.2152862,2.8932,4.8,Both,Both,Both,2.8932,2.4038,2.5309
Dar Es Salaam Islamic Seminari (Girls) Secondary School,-6.8303306,39.2573658,2.3743,3.5,Islam,Girls,Both,2.3743,2.1227,2.5909
Dar Es Salaam Secondary School,-6.824421,39.2786773,2.1366,4.5,Both,Both,Day,2.1366,2.1765,2.3577
Diplomasia Secondary School,-6.8542667,39.2843596,4.3245,3,Both,Girls,Boarding,4.3245,4.4876,4.4876
Feza Boys' Secondary and High School,-6.6573482,39.1940277,1.8216,4.6,Both,Boys,Boarding,1.8216,1.1506,1.3107
Feza Girls' Secondary and High School,-6.7341862,39.2278745,1.9561,4.7,Both,Girls,Both,1.9561,1.3136,1.8379
Gerezani Secondary School,-6.8238477,39.2789444,4.1466,3,Both,Both,Day,4.1466,3.8146,4.1671
Green Acres Secondary School,-6.6975578,39.1975922,2.4251,4.1,Both,Both,Both,2.4251,2.3524,2.6002
Green Light Secondary School,-6.6996351,39.1391885,2.014,2.8,Both,Girls,Boarding,2.014,1.9707,2.4756
Ilala Islamic Secondary School,-6.8304194,39.2595203,2.6452,4.2,Islam,Boys,Both,2.6452,2.3925,1.9844
Ilala Secondary School,-6.8571454,39.21221,4.1631,4.6,Both,Both,Day,4.1631,3.9323,4.1203
Itega Secondary School,-6.7917291,39.2272317,3.5278,4.3,Both,Both,Boarding,3.5278,3.6804,3.592
Jamhuri Secondary School,-6.8194438,39.2814901,3.6153,4.4,Both,Both,Day,3.6153,2.4036,2.5868
Jangwani Secondary School,-6.811844,39.2701254,2.1587,4.2,Both,Girls,Both,2.1587,3.3533,3.6312
Jitegemee Secondary School,-6.851507,39.2793721,3.5373,4,Both,Both,Boarding,3.5373,3.3992,3.8999
Kenton Secondary School Tabata,-6.835241,39.2170891,3.4958,3.6,Both,Both,Boarding,3.4958,3.6411,3.9181
